actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.1407162,11.412422,-3.920895,-71.259605,-125.16834,19.216854,-16.903776,525.01294,-1.5118937,-68.692245,-121.22069,5.3749576,5000
0.10165784,9.873375,-3.900995,-70.88962,-128.69398,7.994966,-8.479218,304.33856,-4.3804827,-69.36915,-126.74169,4.711284,10000
0.09730634,47.60838,-3.920895,-75.2061,-127.95658,65.318405,-61.276276,1465.4225,-3.9709508,-73.33562,-125.70591,3.006835,15000
0.097407356,4.8082004,-3.900995,-72.44913,-132.53003,2.9628468,-2.468254,161.39125,-3.1333437,-70.92412,-128.82947,0.7386165,20000
0.09624885,12.079064,-3.940399,-80.05082,-137.89105,12.323263,-13.232451,374.51147,-4.1776094,-78.82675,-139.40868,2.880206,25000
0.08808802,4.9820304,-3.900995,-73.066765,-139.90598,4.251621,-4.209281,197.62517,-4.8077784,-72.27539,-137.38274,0.23978545,30000
0.095091686,1.5662669,-7.550514,-77.59003,-147.45885,1.6215676,-1.7334083,84.5806,-5.2827015,-76.76681,-146.50615,0.23081402,35000
0.07979607,3.7468567,-3.910995,-78.20945,-150.33002,2.5024848,-2.5246282,128.52992,-3.0314603,-77.733406,-148.37347,0.2699841,40000
0.08230961,3.4334333,-3.920895,-85.14818,-154.89706,2.799866,-2.6596963,121.537476,-3.7120888,-84.65077,-155.1866,0.2747994,45000
0.07706815,7.0466948,-9.80199,-77.229385,-147.13312,4.9001446,-4.3254466,176.74881,-8.332317,-76.64365,-147.73007,0.29348382,50000
0.08292524,2.6847577,-3.900995,-82.67035,-151.09537,2.0539708,-1.83016,108.05314,-3.0791395,-82.160934,-150.56091,0.21378508,55000
0.080698274,0.60987884,-3.910995,-80.239655,-149.56416,0.6094319,-0.7244186,44.092644,-4.095896,-79.76602,-149.3937,0.085759774,60000
0.0814664,0.680964,-3.940399,-83.37291,-159.18507,0.5435452,-0.68158996,43.408615,-4.516794,-82.9749,-159.01591,0.069026776,65000
0.09038993,0.46591094,-3.910995,-81.84677,-157.79193,0.6539883,-0.58004725,40.383823,-3.2617085,-81.36836,-158.0424,0.064012274,70000
0.0811559,0.9520337,-3.900995,-80.03259,-155.60799,1.2690494,-1.2981548,59.263184,-3.2473142,-79.54956,-154.46736,0.09960179,75000
0.07127345,0.45311788,-3.940399,-79.94458,-155.80861,0.41998518,-0.510219,28.263512,-4.2170224,-79.607254,-155.7616,0.04578285,80000
0.08224558,1.5689138,-3.930696,-80.451385,-167.16872,1.210806,-1.0228256,60.902435,-2.5180821,-79.97572,-166.89839,0.15477479,85000
0.048173048,1.4287288,-8.555548,-82.43095,-154.30235,0.9531702,-1.0881584,67.152374,-8.667605,-82.20506,-153.32874,0.13317356,90000
0.09222108,0.8233607,-3.900995,-78.79739,-162.17241,0.565628,-0.6634619,40.995907,-3.7171137,-78.47821,-161.39008,0.085756905,95000
0.061188683,0.9674309,-6.932783,-77.08322,-164.91138,0.58577687,-1.0502328,45.503918,-6.1259623,-76.69296,-163.47186,0.09595771,100000
0.08738628,0.96573097,-3.940399,-81.89358,-160.87819,0.790802,-0.82266414,44.61135,-3.9220037,-81.50987,-161.17891,0.08616848,105000
0.062286474,0.2915641,-8.574659,-83.47325,-153.4021,0.21696195,-0.2895221,19.58134,-8.050282,-83.137024,-152.4883,0.04227005,110000
0.07350241,1.0242541,-3.910995,-78.26752,-159.0272,0.70818675,-0.81628036,40.28636,-3.3373725,-77.86062,-159.16255,0.090257905,115000
0.06554925,0.8456638,-3.940399,-81.48134,-154.28818,1.0873624,-1.3335449,48.39784,-3.8987083,-81.24954,-153.34114,0.070867315,120000
0.06672315,0.22098888,-9.80199,-78.65747,-146.2765,0.3006613,-0.2579289,20.044783,-9.0496235,-78.213036,-145.83101,0.035399042,125000
0.065672375,1.475723,-3.930696,-79.256035,-157.76738,2.266115,-2.4657466,87.525055,-4.2033677,-78.77333,-158.43196,0.17805392,130000
0.052934878,0.7622407,-3.930696,-76.88788,-158.86436,0.9131671,-1.1959755,51.826374,-3.9939048,-76.590256,-158.74988,0.0842848,135000
0.069650255,0.2515394,-3.920895,-78.5159,-167.90346,0.23681135,-0.23044477,16.63792,-3.4025805,-78.21582,-167.06068,0.030592356,140000
0.07119764,1.5325215,-9.80199,-77.89567,-154.56314,1.4330789,-1.2449855,61.495544,-7.245167,-77.32778,-145.66266,0.22091241,145000
0.07205111,0.68701607,-3.920895,-83.71396,-151.02896,0.39076462,-0.534132,28.052876,-2.7346983,-83.44769,-151.35614,0.074104615,150000
0.064216234,0.9114478,-3.910995,-82.851,-158.77304,0.5388,-0.63640916,33.04692,-3.5224032,-82.54637,-159.35092,0.072555706,155000
0.063886955,1.5330921,-3.900995,-83.003204,-163.8549,1.518923,-0.9832579,66.649284,-4.101401,-82.67303,-163.55212,0.073147655,160000
0.060948808,5.72948,-3.920895,-78.39467,-156.95976,3.3061554,-2.090437,127.74771,-3.6290908,-77.81216,-156.19351,0.6042364,165000
0.063633606,0.85295445,-3.910995,-77.56242,-151.70757,1.1020132,-0.57220733,41.814976,-3.9101639,-77.20313,-151.23618,0.07928973,170000
0.06761654,0.6226773,-3.930696,-80.06739,-159.2074,0.74157685,-0.5071702,25.081772,-3.8675945,-79.67847,-159.6484,0.054730326,175000
0.05746095,0.5677632,-3.900995,-82.28792,-160.59886,0.76993334,-0.29743797,30.697857,-3.8108687,-81.99739,-160.83525,0.0766422,180000
0.05716486,0.63953006,-3.930696,-78.001785,-151.31403,0.54961157,-0.4480151,26.67696,-4.048872,-77.664825,-150.88458,0.061981075,185000
0.06877831,0.7441542,-3.910995,-83.11146,-167.92575,0.90412796,-0.30915946,27.537382,-3.824092,-82.79726,-167.96301,0.09368809,190000
0.06911397,0.52645785,-3.900995,-79.090576,-153.93143,0.41782883,-1.0431476,31.183563,-3.695928,-78.825676,-154.66818,0.0527488,195000
0.057910822,0.7230432,-3.910995,-83.47514,-159.74022,0.578594,-0.67046446,29.83463,-3.7583137,-83.12726,-160.49371,0.06804083,200000
0.06479942,0.66746056,-3.900995,-79.34238,-157.27295,0.6889583,-0.50569123,37.43632,-4.171863,-79.00866,-157.6,0.07232719,205000
0.056049403,0.6761253,-3.940399,-80.3996,-155.9071,0.4040243,-0.7150036,28.74688,-4.6404815,-80.11628,-155.88751,0.07742286,210000
0.057628457,0.12905192,-3.900995,-75.805824,-158.79814,0.210127,-0.18181181,12.162333,-3.8466933,-75.576805,-158.92441,0.027406244,215000
0.054887697,0.5162336,-3.910995,-78.633446,-156.61145,0.44823498,-0.40903676,20.846455,-3.5756478,-78.40273,-155.86612,0.041739922,220000
