training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.5209202,0.0,-25.499582,-29.821583,1.0543791,-0.4251246,32.443943,1.0315218,-22.460743,-26.497377,0.018406149,0.39258899865150454,1962.9450042247772,1000
0.48401153,0.0,-35.25628,-44.815945,0.72279286,-0.3195645,27.057247,-0.55969787,-33.437607,-41.97916,0.01648999,0.0007695258140563965,1966.792641878128,2000
0.40601718,-1.0,-43.534164,-56.40694,0.7023884,-0.40848058,29.56242,-0.6254997,-42.288082,-54.14854,0.022501918,0.0007071737289428711,1970.3285195827484,3000
0.6483665,0.0,-46.771557,-65.81437,0.49198145,-0.33927402,22.246828,0.7751536,-46.066074,-64.04325,0.03258772,0.0006718679904937744,1973.687869310379,4000
1.1923039,-1.0,-46.68279,-72.196815,1.2090408,-0.4857131,61.13345,-0.60989004,-46.234535,-70.91654,0.06622294,0.0006508759498596191,1976.9422585964203,5000
0.24294765,0.0,-46.646294,-76.40538,0.2467574,-0.34779635,12.669068,0.0848048,-46.37274,-75.1919,0.016136568,0.000658892822265625,1980.2367310523987,6000
0.5505061,-1.0,-48.936394,-80.63565,0.4876595,-0.31515175,23.641958,-0.31941658,-48.684727,-79.512405,0.02448954,0.0008002321243286133,1984.237900018692,7000
0.37672275,0.0,-46.64999,-81.55362,0.838719,-0.30801612,30.050514,0.54817647,-46.451637,-80.56241,0.016918262,0.0008855390071868896,1988.6656029224396,8000
0.33644798,0.0,-48.353195,-83.16467,0.5984128,-0.44960102,22.741226,0.30172306,-48.19409,-83.1183,0.016799625,0.0009560747623443604,1993.4459857940674,9000
0.27403435,-1.0,-51.696068,-87.62577,0.109318875,-0.2420383,11.17436,-0.30372807,-51.521244,-86.995476,0.011261287,0.0008210113525390625,1997.5510506629944,10000
0.16366228,0.0,-47.946404,-84.833206,0.39810997,-0.12685528,12.525765,0.0036144704,-47.78779,-84.90975,0.0075163445,0.0008516840934753418,2001.8094792366028,11000
