actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.11215803,1.6879776,-3.900995,-44.78989,-70.36747,1.753607,-1.3355507,88.63326,-4.1799784,-44.062057,-69.20864,0.15041992,5000
0.061971482,1.2800858,-3.940399,-46.234367,-76.18315,1.2769235,-1.0680046,67.698235,-3.9048898,-45.67106,-75.34755,0.101247996,10000
0.061881393,0.67863786,-3.900995,-46.72107,-81.992874,1.5991197,-1.0833151,65.1776,-3.9933188,-46.410362,-81.28967,0.072046205,15000
0.05222754,0.6546922,-4.900995,-48.28335,-89.142914,0.7249969,-2.483676,46.3328,-4.0853744,-48.02719,-89.215,0.03367717,20000
0.049312618,0.47679538,-3.940399,-47.57838,-88.69409,2.003717,-1.0233568,44.559822,-4.465508,-47.286205,-88.47197,0.048644576,25000
0.040135056,0.3232018,-4.900995,-49.60853,-87.57677,0.43103272,-0.4710849,29.303005,-4.0627832,-49.45532,-87.59792,0.06511308,30000
0.049367774,0.1776658,-4.900995,-51.7256,-87.1908,0.21646756,-0.28168708,14.696515,-4.137211,-51.597885,-86.67114,0.011554179,35000
0.038758352,0.36242384,-3.900995,-49.21692,-88.056046,0.74639183,-0.5144795,28.513855,-3.816742,-49.084988,-87.47317,0.029355802,40000
0.03880472,0.13513353,-3.900995,-50.943916,-82.39734,0.5593899,-0.1928947,15.264135,-3.7850535,-50.770905,-82.69349,0.01150331,45000
0.030642033,0.21065834,-3.910995,-47.95071,-90.97658,0.4757799,-0.5804048,19.35315,-3.7606986,-47.718697,-90.70625,0.050782777,50000
0.03842516,0.39403322,-3.910995,-47.516582,-85.17394,1.013625,-1.5322981,45.284218,-3.77495,-47.395836,-85.06771,0.027103672,55000
0.034542065,0.19611612,-3.910995,-47.733284,-90.805405,0.59621507,-0.23961768,30.002691,-4.2981477,-47.608276,-91.24941,0.110586494,60000
0.033676963,0.23611812,-3.920895,-46.296204,-87.85889,0.65827537,-1.2404947,35.39475,-3.9048135,-46.123154,-87.87522,0.03032675,65000
0.031195007,0.7537751,-3.910995,-50.633293,-89.14309,0.90208554,-1.6941,44.634228,-4.2102723,-50.483406,-89.19659,0.07743277,70000
0.033695243,0.18495443,-4.900995,-50.175888,-89.18739,0.2724477,-0.49756554,19.13611,-4.4537854,-50.08711,-89.19771,0.013494737,75000
0.027129749,0.13011383,-3.910995,-49.64852,-88.31101,0.5394317,-0.45292473,12.438778,-4.0584526,-49.482964,-88.25893,0.009393255,80000
0.042169735,0.09133285,-3.910995,-48.176888,-87.69452,0.30962363,-0.32213253,12.283842,-3.886291,-48.088196,-87.40978,0.010472937,85000
0.016428487,0.1579736,-3.910995,-50.302895,-86.18233,0.97752696,-0.68177915,27.843363,-3.9354992,-50.190544,-86.10103,0.008856198,90000
0.03184433,0.12836587,-4.900995,-50.082283,-90.7193,0.16933571,-0.32548112,11.533125,-4.1926513,-49.968517,-90.79228,0.018576983,95000
