actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.11105296,1.5016944,-3.900995,-46.211075,-69.198166,2.5166454,-2.718043,111.00038,-3.4189293,-45.53061,-67.89182,0.12555963,5000
0.08243454,3.1670656,-3.940399,-45.422653,-74.13201,2.3921747,-2.5160735,119.82549,-1.8407292,-45.07869,-73.42049,0.8613074,10000
0.08774681,1.2448881,-3.900995,-46.35992,-75.8168,0.7970189,-0.73380154,49.532616,-3.3547018,-45.972023,-75.50194,0.13026607,15000
0.07933912,0.9677751,-4.900995,-47.755127,-78.53393,1.0590304,-1.1145319,45.531857,-4.228668,-47.504204,-76.707436,0.08154409,20000
0.072606824,0.6532102,-3.940399,-46.97666,-87.3566,0.80550444,-0.58927286,39.89045,-3.972327,-46.615314,-86.064384,0.04594078,25000
0.07013088,0.9128858,-4.900995,-49.06698,-87.25679,1.6701175,-1.6934204,47.60489,-3.1505363,-48.80209,-89.58578,0.054554515,30000
0.07783818,0.5405481,-4.900995,-51.24913,-86.42153,0.8379768,-0.45965788,29.40314,-4.0807614,-51.04359,-88.065544,0.044692844,35000
0.059587587,0.4335821,-3.900995,-49.111217,-87.88418,0.6344043,-0.383471,26.014687,-4.2013817,-48.91278,-87.34977,0.03892824,40000
0.0736252,0.2563231,-3.900995,-50.473698,-82.44359,0.399669,-0.24988763,17.600498,-4.143475,-50.298,-83.13358,0.026517011,45000
0.05295239,0.33157104,-3.910995,-47.787415,-91.45516,0.6858915,-0.36028406,29.5475,-3.737403,-47.63385,-91.53423,0.024502717,50000
0.06466499,0.13916439,-3.910995,-47.679165,-85.4925,0.20992926,-0.21075493,10.274327,-4.157319,-47.512054,-85.82312,0.013463149,55000
0.07042867,0.40411592,-3.910995,-47.37328,-91.93552,0.40211883,-0.23867157,18.240288,-3.9088006,-47.18872,-91.87015,0.036220767,60000
0.06567237,0.29102853,-3.920895,-45.98999,-86.5585,0.5132916,-0.7125964,19.908,-4.188623,-45.825058,-86.896935,0.034593936,65000
0.06338634,0.23686787,-3.910995,-50.66326,-88.44761,0.7716938,-0.23671743,20.597956,-4.2626686,-50.519493,-88.650986,0.021111874,70000
0.05980263,0.15529928,-4.900995,-49.78824,-88.900185,0.14507665,-0.37902993,11.598537,-4.2752,-49.59681,-88.84503,0.014918018,75000
0.055941854,0.27696916,-3.910995,-49.26407,-87.54026,0.69261265,-0.2109402,17.569168,-4.218021,-49.073578,-87.540634,0.023070853,80000
0.062661715,0.18805048,-3.910995,-47.681084,-87.50602,0.11804695,-0.31996828,11.83081,-4.2369056,-47.54399,-87.72365,0.01435346,85000
0.04813748,0.21240067,-3.910995,-49.99221,-85.88572,0.485794,-0.14166394,14.572601,-4.36438,-49.83288,-86.18281,0.01607373,90000
0.06373723,0.15062472,-4.900995,-49.75009,-90.94244,0.41496468,-0.38836125,18.53878,-4.290156,-49.614143,-91.01515,0.040770378,95000
0.052191705,0.11409829,-3.940399,-48.95964,-90.863754,0.17009643,-0.09938638,7.657717,-4.213518,-48.81246,-90.77878,0.011961294,100000
