actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0.0922251,1.7961376,-3.900995,-70.05139,-135.53943,3.9740086,-4.664601,184.32709,-3.085417,-68.965836,-132.19022,0.27369237,5000
0.044100024,2.9088655,-3.900995,-71.671936,-148.9873,2.64066,-4.2591166,143.3797,-4.167204,-70.88208,-146.56955,0.45358223,10000
0.041860204,5.143309,-3.900995,-78.03285,-161.92944,17.140905,-19.603218,431.93494,-3.4999626,-77.660065,-160.24179,0.44466478,15000
0.042984173,1.0236317,-3.900995,-77.25737,-173.1443,3.5778956,-1.57862,100.218544,-3.8101847,-76.9057,-172.54764,0.07673812,20000
0.03765938,53.329456,-3.900995,-81.05844,-164.06412,83.06172,-128.81198,2020.5898,-3.5727408,-80.70613,-159.31197,0.9810109,25000
0.02603036,0.548432,-3.910995,-81.06771,-180.3567,4.108664,-2.9168212,93.19971,-3.6149049,-80.84972,-179.52835,0.03111303,30000
0.037916366,0.17959985,-3.910995,-81.401184,-173.60197,2.253059,-1.3056982,48.11213,-3.7624297,-81.13542,-172.49693,0.02559133,35000
0.021283833,0.5276146,-3.940399,-78.9848,-175.19646,1.0067867,-1.7488002,46.1476,-3.9656904,-78.76294,-175.08244,0.03038058,40000
0.028321732,0.40613028,-3.900995,-77.57759,-174.81447,2.063966,-1.2216463,83.86328,-3.597291,-77.259,-173.7285,0.024405668,45000
0.02301661,0.18948247,-3.920895,-79.191574,-180.4961,1.0902967,-1.2478899,50.122013,-3.8601265,-78.996826,-179.57756,0.014056297,50000
0.035645477,0.19992384,-3.900995,-79.41951,-174.73933,0.8918266,-0.6751993,35.61486,-3.860555,-79.10261,-174.00558,0.041943684,55000
0.028569505,0.32900757,-3.910995,-81.85268,-179.93738,0.921246,-0.9944922,42.239056,-3.7272747,-81.61138,-179.54512,0.066863365,60000
0.025815027,0.39740115,-3.910995,-79.20387,-172.66603,0.5434655,-0.6280506,34.63311,-3.5019672,-78.990524,-172.3685,0.05757465,65000
0.023050189,0.10437991,-3.940399,-75.090515,-174.77591,0.46903527,-0.3833743,22.824905,-4.08396,-74.86075,-173.88724,0.015435416,70000
0.028672712,0.12378472,-3.920895,-81.344986,-180.16191,1.3550631,-0.3429259,20.866806,-4.0729947,-81.169876,-180.02171,0.013079818,75000
0.021060072,0.26782274,-3.900995,-81.16053,-183.48653,1.5425931,-0.7244353,34.870205,-3.35511,-80.948105,-183.1381,0.017268408,80000
0.03221026,0.09289864,-3.920895,-76.9185,-178.64484,0.35371512,-0.37105095,20.548471,-3.8623044,-76.717514,-178.5477,0.044610944,85000
0.010986152,0.59336156,-3.920895,-77.41635,-182.4594,2.3620393,-6.039854,153.2861,-3.4827287,-77.31517,-182.283,0.56797177,90000
0.021344583,2.7024856,-3.900995,-82.24087,-179.9138,3.191907,-3.2715576,139.25806,-3.5874145,-82.05566,-179.6924,0.027423246,95000
0.013375814,0.77502465,-3.920895,-83.17842,-182.24394,1.8645312,-3.1371026,65.82665,-3.4239185,-83.029236,-182.01521,0.019018989,100000
0.022693356,0.058627855,-3.910995,-83.095505,-181.30783,0.47397685,-0.5755168,19.374779,-3.929315,-82.87082,-180.99136,0.029325783,105000
0.015679669,0.32609805,-3.910995,-81.75699,-182.28265,1.9558201,-3.9427962,51.15901,-3.6394281,-81.66778,-182.0577,0.015114345,110000
0.020330371,3.5166223,-3.900995,-81.98076,-180.65079,1.9128911,-2.8688774,129.96826,-3.7775214,-81.74757,-180.3899,0.5169889,115000
0.02083277,0.4659019,-3.900995,-81.88115,-177.66795,0.7608447,-0.53571534,49.49427,-3.74326,-81.753624,-177.72145,0.06370859,120000
0.02081179,0.04810213,-3.900995,-82.0059,-181.81403,0.15673846,-0.20768017,10.7457485,-3.8968656,-81.85276,-181.82541,0.006278012,125000
0.009259888,0.10287951,-3.900995,-82.52074,-183.35437,0.58395255,-0.4781607,20.301418,-3.5583234,-82.39308,-183.23636,0.024013443,130000
0.009473436,0.36550698,-3.900995,-84.85748,-177.66515,1.2955241,-1.0317404,37.917507,-3.53738,-84.76038,-177.20906,0.014814781,135000
0.019215506,0.37927175,-3.920895,-75.9288,-181.84253,0.76327854,-0.487696,25.974037,-3.5254862,-75.72907,-182.06248,0.04815291,140000
0.020331794,0.045712203,-3.900995,-74.17194,-178.20871,0.15536083,-0.4222589,11.123861,-3.8122563,-74.029495,-178.13474,0.0063935737,145000
0.018077193,0.1531592,-3.900995,-81.651825,-181.2049,0.33836454,-1.0329444,26.762766,-3.665844,-81.5552,-181.21553,0.0088856295,150000
0.021549154,0.06417316,-3.920895,-81.064575,-178.09181,0.3182882,-0.17292783,14.094189,-3.8149178,-80.9312,-177.95135,0.030066222,155000
0.016702626,0.06010002,-3.930696,-79.49872,-179.21288,0.20690277,-0.15724534,9.231292,-3.8601904,-79.37617,-179.14827,0.0061984183,160000
0.012981526,0.29858726,-3.900995,-77.7552,-175.68393,0.5198762,-0.6898003,23.509853,-3.7713068,-77.556564,-175.68184,0.035051953,165000
0.01430489,0.173679,-3.900995,-80.90619,-169.8836,0.5698371,-0.2802496,16.152006,-3.8185313,-80.80145,-169.64441,0.008185802,170000
