actor/actor_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,value/v_max,value/v_mean,value/v_min,value/value_loss,step
0,1081.6636,-3.900995,-222.18738,-586.2467,5137.3994,-5602.9717,127338.92,0.33291644,-211.75763,-564.3149,160.72171,5000
0,82.41969,-3.910995,-245.08151,-702.0552,132.11319,-97.10837,5316.8394,-3.794649,-239.48349,-687.6074,18.063835,10000
0,96.8352,-3.900995,-266.90668,-728.86145,322.88577,-222.7605,6236.617,-2.2690516,-262.2321,-718.44653,9.72283,15000
0,59.57523,-3.910995,-236.69684,-728.62683,132.83533,-141.48076,4755.9746,-2.3562307,-232.53375,-722.34,9.141832,20000
0,49.6734,-3.930696,-266.6629,-803.08435,96.77397,-92.86287,3876.745,-4.034814,-263.57492,-781.2359,5.0689645,25000
0,47.610626,-3.900995,-249.74927,-757.11993,119.828575,-184.82518,4065.374,-3.7221432,-247.51797,-748.1288,2.4342089,30000
0,35.870575,-3.940399,-257.0549,-760.5208,106.31453,-62.104614,2503.2036,-4.1775603,-253.58997,-755.136,6.131475,35000
0,59.242065,-3.900995,-253.69928,-748.87085,119.022964,-209.66609,4086.1758,-3.2463152,-250.89175,-740.60913,8.887852,40000
0,19.766178,-3.900995,-261.0196,-813.98865,68.31011,-123.86318,2463.0366,-3.2943604,-258.58978,-804.6554,3.2905612,45000
0,24.514648,-3.910995,-242.28517,-874.45233,81.27585,-144.33545,3076.2021,-2.3555372,-240.732,-869.6291,1.3634646,50000
0,17.694656,-3.930696,-252.84727,-874.5811,55.604973,-51.04034,2146.7666,-3.0761068,-251.14034,-869.58984,1.2547402,55000
0,13.686834,-7.5818458,-261.76355,-860.01575,39.980003,-86.42066,1622.364,-5.108348,-259.78473,-850.00745,1.0322876,60000
0,38.437187,-3.900995,-232.69702,-849.52295,186.86954,-149.92104,2586.161,-0.0017320514,-230.35318,-840.08203,3.8041024,65000
0,23.581001,-3.900995,-266.3192,-843.0241,167.99797,-222.40971,4016.7769,-3.3695774,-264.9781,-843.0689,1.8289013,70000
0,34.602715,-3.920895,-240.00464,-865.3635,92.608925,-61.9304,2608.0984,-2.1541796,-238.30246,-865.79974,2.953038,75000
0,14.109434,-3.910995,-239.05627,-864.643,68.31254,-71.9997,1632.6539,-4.9476166,-237.29684,-864.323,1.9313455,80000
0,18.008827,-3.900995,-241.5362,-822.6076,46.779865,-51.668053,1432.4014,-2.915224,-240.51746,-820.18317,1.3924117,85000
0,9.780481,-3.900995,-225.9256,-888.5843,72.252045,-38.860462,1334.8337,-5.4922915,-224.59357,-884.94415,0.69132227,90000
0,7.056891,-3.910995,-312.8892,-873.486,31.382431,-30.67649,1076.9958,-2.0356574,-311.64722,-869.1211,0.8564092,95000
0,24.219318,-3.910995,-225.293,-863.8198,57.218445,-65.44078,2480.3276,-3.1647544,-224.20792,-862.48834,0.7218963,100000
0,11.999739,-3.910995,-263.50024,-840.40186,18.282066,-41.97579,860.1915,-3.2957435,-262.5298,-835.3404,0.3300379,105000
0,7.605728,-3.900995,-241.38345,-852.5168,32.519894,-37.842525,810.73987,-3.5500703,-239.81073,-856.9703,1.1243752,110000
0,39.93722,-3.900995,-280.222,-845.6195,77.25013,-93.63908,2721.5557,-0.4746006,-278.30722,-839.8287,4.5974426,115000
0,10.60744,-3.900995,-279.0199,-886.6696,156.39142,-30.507946,2369.3281,-3.6074247,-278.35303,-884.8779,0.4230838,120000
0,5.3991137,-3.910995,-269.75882,-886.4848,19.079739,-22.464138,673.6953,-3.8972387,-268.7966,-883.6799,0.5096663,125000
0,8.5257,-3.900995,-242.92621,-897.3639,21.558264,-21.94911,736.34753,-2.2246933,-242.17636,-896.4057,0.94048905,130000
0,9.248129,-3.900995,-266.45126,-831.52136,14.974867,-30.962484,843.7562,-2.664348,-265.61752,-831.7461,0.60557735,135000
0,2.2691567,-3.900995,-279.14673,-814.49457,5.7470536,-7.755391,369.12787,-3.5006118,-278.25378,-813.3313,0.9395485,140000
0,28.58858,-3.900995,-267.47015,-881.1913,118.80703,-96.20994,3794.4207,-4.3896465,-266.21368,-881.7506,2.7035666,145000
0,17.034908,-3.900995,-259.57642,-888.777,60.60322,-61.73499,2488.6274,-2.886211,-258.85144,-888.2585,0.82218397,150000
0,11.027784,-3.900995,-274.59705,-858.0516,41.243008,-38.450127,1035.1006,-2.854248,-273.88724,-856.88385,0.36163667,155000
0,4.1053314,-3.940399,-255.18896,-897.31006,12.879373,-16.473722,584.9665,-4.335057,-254.52763,-896.3615,0.3228873,160000
0,2.2174,-3.900995,-280.55408,-888.1294,3.7749195,-12.012377,339.16882,-2.559372,-279.7497,-886.4395,0.29723862,165000
0,10.041256,-3.900995,-271.13757,-864.1377,21.506023,-22.377995,856.67334,-3.3831458,-270.5699,-863.7175,0.83672595,170000
0,17.137201,-3.900995,-272.64655,-907.3482,20.284403,-26.832285,1077.8796,-2.110091,-272.08844,-908.7978,1.8016348,175000
0,3.3341014,-3.910995,-263.1571,-902.35455,6.321803,-5.3947544,289.0348,-3.7840931,-262.51788,-901.93195,0.4528484,180000
0,3.9608095,-3.900995,-247.12564,-910.1427,9.329902,-13.230361,412.6215,-2.9229453,-246.5979,-910.31836,0.18841904,185000
0,3.024544,-3.920895,-291.6781,-904.8559,11.233969,-8.382235,359.6698,-3.2761264,-291.17896,-905.18774,0.16972397,190000
0,7.001343,-3.900995,-264.64615,-872.9202,17.294363,-18.214579,902.06323,-3.599049,-264.1501,-872.94965,6.238131,195000
0,2.2716932,-3.900995,-248.2622,-891.32544,3.6389294,-6.311165,213.70868,-2.9191315,-247.76208,-891.8168,0.20510699,200000
0,2.8428123,-3.900995,-271.24402,-862.942,14.661242,-19.00106,498.81433,-2.806357,-270.69354,-862.44867,0.13828066,205000
0,2.7400792,-3.900995,-274.84326,-854.13385,14.485907,-7.9860153,295.326,-3.3150494,-274.40295,-854.67285,0.11893828,210000
0,2.6979198,-3.900995,-280.18634,-889.3779,9.935011,-6.0224686,326.58182,-3.2508917,-279.44955,-888.69995,0.19601251,215000
0,2.4050646,-3.910995,-322.95132,-902.7797,4.48187,-9.306944,313.34634,-3.3190145,-322.39435,-901.6109,0.13551651,220000
0,1.7867427,-3.930696,-273.49802,-894.5279,6.6640487,-6.5773335,263.60287,-3.6395042,-272.945,-893.9892,0.19253674,225000
0,1.8917525,-3.900995,-268.40222,-889.855,2.9974527,-7.6470995,241.78487,-2.689117,-267.58807,-887.7712,0.25532812,230000
0,2.0766284,-3.910995,-293.4131,-873.31177,9.393019,-4.1644154,346.71286,-3.3769588,-292.807,-873.4745,0.3406505,235000
0,83.071266,-3.900995,-268.99783,-883.24384,384.9265,-1177.6552,11659.704,-1.5024405,-268.45038,-881.8744,5.456491,240000
0,1.3847532,-3.910995,-290.10254,-862.37146,8.768694,-3.9024124,230.12207,-2.5254655,-289.46402,-862.826,0.09226946,245000
0,3.7820237,-3.910995,-289.94397,-897.1891,8.365099,-7.9925137,287.76126,-4.8016424,-289.14478,-895.8127,0.45334437,250000
